buyDay,sellDay,buyPrice,sellPrice,qty,pnl
55,64,25.025,23.976,39,-40.911
76,81,25.025,23.976,39,-40.911
94,117,25.025,23.976,39,-40.911
128,131,25.025,23.976,39,-40.911
144,149,25.025,23.976,39,-40.911
177,181,23.023,21.978,42,-43.89
202,216,23.023,22.977,42,-1.932
220,237,23.023,22.977,42,-1.932
242,247,24.024,23.976,40,-1.92
