buyDay,sellDay,buyPrice,sellPrice,qty,pnl
19,38,511.651,511.098,1,-0.55275
46,51,529.099,514.085,1,-15.0132
76,77,507.737,503.736,1,-4.00147
79,95,510.28,511.988,1,1.70773
177,191,379.179,379.78,2,1.20208
193,228,397.287,415.254,2,35.9349
240,249,439.769,448.541,2,17.5434
