buyDay,sellDay,buyPrice,sellPrice,qty,pnl
23,46,619.559,714.944,1,95.3854
51,67,744.143,751.698,1,7.55415
80,93,768.137,694.515,1,-73.6226
109,119,721.391,697.831,1,-23.5592
170,172,510.96,504.225,1,-6.73518
175,217,586.586,686.313,1,99.727
247,249,620.97,632.047,1,11.077
