buyDay,sellDay,buyPrice,sellPrice,qty,pnl
40,49,257.387,245.255,3,-36.3979
75,76,233.563,229.42,4,-16.5719
99,104,212.622,212.228,4,-1.5794
123,130,203.023,195.075,4,-31.7924
133,142,207.067,196.054,4,-44.0524
147,153,212.713,199.54,4,-52.689
167,202,223.413,227.422,4,16.0366
221,241,234.634,246.244,4,46.4364
